Heel_X,Heel_Y,Heel_Z,TOE_X,TOE_Y,TOY_Z,"sqrt(heel x, y, z)","sqrt(toe x, y, z)",PD_or_Non
-0.1061,0.47196,1.469,-0.058765,0.5257,1.2807,1.5466,1.3857,0
-0.10455,0.44679,1.5472,-0.052813,0.50838,1.3242,1.6138,1.4194,0
-0.09411,0.43455,1.6424,-0.059347,0.50022,1.3676,1.7016,1.4574,0
-0.075081,0.42682,1.7439,-0.076245,0.49504,1.4142,1.797,1.5003,0
-0.047272,0.41556,1.8398,-0.10094,0.48652,1.4672,1.8868,1.549,0
-0.010188,0.39466,1.9192,-0.13057,0.46926,1.5289,1.9594,1.6046,0
0.036467,0.36087,1.9741,-0.16188,0.43953,1.6007,2.0071,1.6678,0
0.092088,0.31384,2.0001,-0.19122,0.39549,1.6829,2.0267,1.7393,0
0.1544,0.25562,1.9978,-0.21454,0.33719,1.7754,2.02,1.8198,0
0.21882,0.18976,1.9722,-0.22782,0.2661,1.877,1.9933,1.9094,0
0.27815,0.12022,1.9324,-0.22763,0.18467,1.9864,1.9561,2.0079,0
0.32281,0.050527,1.8914,-0.2118,0.095768,2.1013,1.9194,2.1141,0
0.34171,-0.016858,1.8639,-0.18003,0.0022426,2.219,1.895,2.2263,0
0.32382,-0.0808,1.8656,-0.13417,-0.09335,2.3354,1.8952,2.3412,0
0.26034,-0.14152,1.9108,-0.077991,-0.18891,2.4457,1.9337,2.4542,0
0.14721,-0.20058,2.0103,-0.016553,-0.28303,2.5436,2.0256,2.5594,0
-0.012537,-0.26109,2.1681,0.04497,-0.37544,2.6227,2.1838,2.6498,0
-0.20714,-0.32815,2.3792,0.1026,-0.4679,2.6767,2.4106,2.7192,0
-0.41571,-0.40949,2.6265,0.15463,-0.56533,2.7005,2.6905,2.7634,0
-0.60971,-0.51585,2.8815,0.20204,-0.6768,2.6917,2.9901,2.7828,0
-0.75621,-0.66051,3.1063,0.24783,-0.8156,2.6503,3.2645,2.784,0
-0.82282,-0.85763,3.2599,0.29538,-0.99787,2.5792,3.4698,2.7812,0
-0.78347,-1.1193,3.3063,0.34635,-1.2395,2.4828,3.5774,2.7965,0
-0.62379,-1.4518,3.2227,0.39902,-1.5517,2.3668,3.5893,2.8581,0
-0.34512,-1.8524,3.005,0.448,-1.9359,2.2375,3.5469,2.9924,0
0.034066,-2.3072,2.6685,0.48573,-2.3797,2.1022,3.5278,3.2122,0
0.47955,-2.79,2.2449,0.50532,-2.8553,1.9698,3.613,3.5054,0
0.94548,-3.2641,1.7753,0.50365,-3.3194,1.8507,3.834,3.8337,0
1.3805,-3.6844,1.3039,0.48323,-3.7183,1.755,4.1449,4.1399,0
1.7348,-4.002,0.87165,0.4518,-3.9941,1.6901,4.4481,4.3604,0
1.9675,-4.1698,0.51283,0.41942,-4.0949,1.6572,4.6391,4.4374,0
2.0526,-4.1498,0.25232,0.39417,-3.985,1.6507,4.6366,4.3313,0
1.9832,-3.9215,0.10393,0.37841,-3.6543,1.6596,4.3956,4.0313,0
1.7724,-3.4888,0.069307,0.36794,-3.1247,1.6727,3.9138,3.5632,0
1.4522,-2.8847,0.13776,0.35478,-2.4496,1.6833,3.2326,2.9933,0
1.0688,-2.1694,0.28803,0.332,-1.7073,1.6919,2.4355,2.4264,0
0.67658,-1.4213,0.49286,0.29745,-0.98665,1.7046,1.6495,1.9919,0
0.32818,-0.72256,0.72593,0.25416,-0.36983,1.7278,1.0755,1.7851,0
0.064951,-0.14223,0.96879,0.20774,0.084002,1.7634,0.98133,1.7776,0
-0.091584,0.27757,1.2144,0.16326,0.34862,1.8063,1.2491,1.8468,0
-0.14348,0.52734,1.4649,0.12334,0.43248,1.8459,1.5635,1.8999,0
-0.11383,0.62709,1.7243,0.088193,0.37227,1.8697,1.8384,1.9084,0
-0.038523,0.61642,1.9903,0.056673,0.2212,1.8677,2.0839,1.8816,0
0.044735,0.54186,2.2489,0.027564,0.035566,1.8354,2.3137,1.836,0
0.10664,0.4457,2.4762,0.00033542,-0.13672,1.7751,2.5182,1.7803,0
0.13208,0.35884,2.6438,-0.024709,-0.26344,1.6943,2.6713,1.7148,0
0.12035,0.29805,2.7282,-0.046769,-0.33028,1.604,2.7471,1.6383,0
0.080945,0.26715,2.7177,-0.06506,-0.33886,1.5155,2.732,1.5543,0
0.027679,0.26063,2.6159,-0.079218,-0.30195,1.4385,2.629,1.4719,0
-0.026257,0.26819,2.4411,-0.089442,-0.23783,1.3789,2.456,1.4021,0
